pattern_id,regex,grammatical_item,Sentence_type,grammatical_item_JP,Sentence_type_JP,shorthand_code,,comment,abbreviated_pattern
80,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(wo_MD_wo n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|will_MD_will ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) be_VB_be being_VBG_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: FUTURE PROGRESSIVE,NEG. INT.,受動態(未来進行),否定疑問,PASS.FUTPRG.INT.NEG,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) (wo n't 名詞句・代名詞|will_MD 名詞句・代名詞 not) be being V.N (任意の語)*? ?
81,(will|'ll)_MD_will have_VH_have been_VBN_be \S+_V.N_\S+,PASSIVE: FUTURE PERFECT,AFF. DEC.,受動態(未来完了),肯定平叙,PASS.FUTPF.AFF,,未来完了進行の受動態は省略,{will}_MD have been V.N
81,(will|'ll|wo)_MD_(will|wo) (not|n't)_\S+ have_VH_have been_VBN_be \S+_V.N_\S+,PASSIVE: FUTURE PERFECT,NEG. DEC.,受動態(未来完了),否定平叙,PASS.FUTPF.NEG,,未来完了進行の受動態は省略,{will}_MD {not} have been V.N
81,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\Kwill_MD_will ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) have_VH_have been_VBN_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: FUTURE PERFECT,AFF. INT.,受動態(未来完了),肯定疑問,PASS.FUTPF.INT.AFF,,未来完了進行の受動態は省略；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) will_MD 名詞句・代名詞 have been V.N (任意の語)*? ?
81,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(wo_MD_wo n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|will_MD_will ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) have_VH_have been_VBN_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: FUTURE PERFECT,NEG. INT.,受動態(未来完了),否定疑問,PASS.FUTPF.INT.NEG,,未来完了進行の受動態は省略；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) (wo n't 名詞句・代名詞|will_MD 名詞句・代名詞 not) have been V.N (任意の語)*? ?
82,\b(?!cannot)\S+_MD_\S+ be_VB_be \S+_V.N_\S+,PASSIVE: AUX,AFF. DEC.,受動態(助動詞),肯定平叙,PASS.MD.AFF,,助動詞はMDに限定,(?!cannot_)MD be V.N
82,(\S+_MD_\S+ (not|n't)_\S+|cannot_MD_can) be_VB_be \S+_V.N_\S+,PASSIVE: AUX,NEG. DEC.,受動態(助動詞),否定平叙,PASS.MD.NEG,,助動詞はMDに限定,(MD {not}|cannot) be V.N
82,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_MD_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) be_VB_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: AUX,AFF. INT.,受動態(助動詞),肯定疑問,PASS.MD.INT.AFF,,助動詞はMDに限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) MD 名詞句・代名詞 be V.N (任意の語)*? ?
82,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_MD_\S+ (n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) be_VB_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: AUX,NEG. INT.,受動態(助動詞),否定疑問,PASS.MD.INT.NEG,,助動詞はMDに限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) MD (n't 名詞句・代名詞|名詞句・代名詞 not) be V.N (任意の語)*? ?
83,\b(?!cannot)\S+_MD_\S+ be_VB_be being_VBG_be \S+_V.N_\S+,PASSIVE: AUX+PROGRESSIVE,AFF. DEC.,受動態(助動詞+進行),肯定平叙,PASS.MDPRG.AFF,,助動詞はMDに限定,(?!cannot_)MD be being V.N
83,(\S+_MD_\S+ (not|n't)_\S+|cannot_MD_can) be_VB_be being_VBG_be \S+_V.N_\S+,PASSIVE: AUX+PROGRESSIVE,NEG. DEC.,受動態(助動詞+進行),否定平叙,PASS.MDPRG.NEG,,助動詞はMDに限定,(MD {not}|cannot) be being V.N
83,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_MD_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) be_VB_be being_VBG_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: AUX+PROGRESSIVE,AFF. INT.,受動態(助動詞+進行),肯定疑問,PASS.MDPRG.INT.AFF,,助動詞はMDに限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) MD 名詞句・代名詞 be being V.N (任意の語)*? ?
83,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_MD_\S+ (n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) be_VB_be being_VBG_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: AUX+PROGRESSIVE,NEG. INT.,受動態(助動詞+進行),否定疑問,PASS.MDPRG.INT.NEG,,助動詞はMDに限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) MD (n't 名詞句・代名詞|名詞句・代名詞 not) be being V.N (任意の語)*? ?
84,\b(?!cannot)\S+_MD_\S+ have_VH_have been_VBN_be \S+_V.N_\S+,PASSIVE: AUX+PERFECT,AFF. DEC.,受動態(助動詞+完了),肯定平叙,PASS.MDPF.AFF,,助動詞はMDに限定；助動詞+完了進行の受動態は省略,(?!cannot_)MD have been V.N
84,(\S+_MD_\S+ (not|n't)_\S+|cannot_MD_can) have_VH_have been_VBN_be \S+_V.N_\S+,PASSIVE: AUX+PERFECT,NEG. DEC.,受動態(助動詞+完了),否定平叙,PASS.MDPF.NEG,,助動詞はMDに限定；助動詞+完了進行の受動態は省略,(MD {not}|cannot) have been V.N
84,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_MD_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) have_VH_have been_VBN_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: AUX+PERFECT,AFF. INT.,受動態(助動詞+完了),肯定疑問,PASS.MDPF.INT.AFF,,助動詞はMDに限定；助動詞+完了進行の受動態は省略；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) MD 名詞句・代名詞 have been V.N (任意の語)*? ?
84,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_MD_\S+ (n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) have_VH_have been_VBN_be \S+_V.N_\S+ .*?\?_SENT_\?",PASSIVE: AUX+PERFECT,NEG. INT.,受動態(助動詞+完了),否定疑問,PASS.MDPF.INT.NEG,,助動詞はMDに限定；助動詞+完了進行の受動態は省略；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) MD (n't 名詞句・代名詞|名詞句・代名詞 not) have been V.N (任意の語)*? ?
